Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","Para a categoria de sargentos na área funcional de Operações Especiais, os requisitos são os seguintes:  *   **Escolaridade:** 12º ano. *   **Altura:** 156cm (feminino) e 160cm (masculino).","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",60.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"A unidade responsável pela formação inicial para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), que se localiza nas Caldas da Rainha.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",98.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"A remuneração total de um General (GEN) em 2024 é de 6 558,53 €.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","Um Cad Aluno do 1º Ano ganha, em termos de remuneração base (RB), 203,51 €.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","A remuneração total de um Sargento-Ajudante (SAJ), NR 23, é de 2 205,29 €.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,O código de transação SAP mencionado para iniciar o processo de Alteração de Horário é o PA40.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","O infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. Adicionalmente, este infotipo deve ser utilizado para efetuar o registo de tolerâncias de ponto, através de um registo do subtipo 03-Tolerância de Ponto (Plano de horário de trabalho diário: TOLP).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,94.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,Pode aceder ao relatório Síntese de datas utilizando os seguintes códigos de transação:  *   **S_PH0_48000450** *   **ZHR_T_Q0016**,Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,85.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"A área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,As condições essenciais de altura para a área funcional Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,100.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"A remuneração total de um Tenente-General (TGEN) com PR 2 em 2024 é de 5 496,86 €.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?","Segundo o Artigo 228.º, os limites de trabalho suplementar por trabalhador são os seguintes:  *   **No caso de microempresa ou pequena empresa:** cento e setenta e cinco horas por ano; *   **No caso de média ou grande empresa:** cento e cinquenta horas por ano; *   **No caso de trabalhador a tempo parcial:** oitenta horas por ano ou o número de horas correspondente à proporção entre o respetivo período normal de trabalho e o de trabalhador a tempo completo em situação comparável, quando superior.  Adicionalmente: *   Os limites para micro, pequenas, médias ou grandes empresas podem ser aumentados até duzentas horas por ano, através de instrumento de regulamentação colectiva de trabalho. *   O limite para trabalhadores a tempo parcial pode ser aumentado até cento e trinta horas por ano, mediante acordo escrito entre o trabalhador e o empregador, ou até duzentas horas por ano, por instrumento de regulamentação colectiva de trabalho.","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",50.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,O número máximo de trabalho suplementar em dia normal de trabalho é de duas horas.,O limite é de duas horas por dia normal de trabalho.,100.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,O infotipo utilizado para registar contingentes de presença é o infotipo 2007 - Contingentes de Presenças.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,O infotipo utilizado para registar contingentes de presença é o infotipo 2007 - Contingentes de Presenças.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do activo ou de reserva são as seguintes:  *   Repreensão; *   Repreensão agravada; *   Proibição de saída; *   Suspensão de serviço; *   Prisão disciplinar; *   Reforma compulsiva; *   Separação de serviço.,"As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",100.0
17,Qual a duração máxima da pena de proibição de saída?,A duração máxima da pena de proibição de saída é de 20 dias.,A pena de proibição de saída tem duração não superior a 20 dias.,100.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"A pena de repreensão agravada consiste na declaração feita ao infractor de que sofre reparo por ter praticado uma infracção disciplinar. No caso de oficiais e sargentos, esta é dada na presença de outros oficiais ou sargentos, respectivamente de posto superior ou igual (sendo, neste último caso, mais antigos), da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",88.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,"A pena de suspensão de serviço traduz-se no afastamento completo do serviço pelo período que for fixado, entre cinco e 90 dias.","A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",100.0
20,A que consiste a pena de separação de serviço?,"A pena de separação de serviço consiste no afastamento definitivo das Forças Armadas, com a perda da condição de militar, o abate aos quadros permanentes e a privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",100.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?,O código de transação para atualizar dados mestre de pessoal é o PA30.,O código de transação para atualizar dados mestre de pessoal é PA30.,100.0
