Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?"," Para sargentos da área funcional Operações Especiais, a escolaridade mínima exigida é o 9.º ano e a altura deve ser de 156 cm (feminino) ou 160 cm (masculino).","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",20.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?," A Escola de Sargentos do Exército, situada em Caldas da Rainha.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",85.0
3,Qual é a remuneração total de um General (GEN) em 2024?," 6 558,53 €","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",95.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?"," 203,51 €","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",95.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?"," 2 205,29 €","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",95.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?, PA40,O código de transação mencionado para a medida de Alteração de Horário é PA40.,95.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?"," O Infotipo 2003 ‑ Substituições serve para realizar a substituição do horário de trabalho do colaborador e, ainda, para registar as tolerâncias de ponto (subtipo 03‑Tolerância de Ponto).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?," Para aceder ao relatório **Síntese de datas**, utilize o código de transação **S_PH0_48000450**.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,100.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?," Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?, As condições essenciais de altura para a área funcional Vigilância do Campo de Batalha são: **165 cm a 180 cm** (para ambos o sexo feminino e masculino).,As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,98.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?," 5 496,86 €","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",95.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?", 150 horas por ano.,"O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",95.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?, Duas horas.,O limite é de duas horas por dia normal de trabalho.,85.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?, Infotipo 2007.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,50.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?, O infotipo utilizado para registar contingentes de presença no SIGRHV é o **2007**.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,85.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?, As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva são:  - Repreensão; - Repreensão agravada; - Proibição de saída; - Suspensão de serviço; - Prisão disciplinar; - Reforma compulsiva; - Separação de serviço.,"As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",100.0
17,Qual a duração máxima da pena de proibição de saída?, 20 dias,A pena de proibição de saída tem duração não superior a 20 dias.,85.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?," A pena de repreensão agravada para oficiais e sargentos consiste na declaração ao infractor de que sofre reparo por ter praticado uma infracção disciplinar, feita na presença de outros oficiais ou sargentos, respectivamente de posto superior ou igual, mas mais antigos, da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",92.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?, Entre cinco e noventa dias.,"A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",50.0
20,A que consiste a pena de separação de serviço?," A pena de separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",100.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?, PA30,O código de transação para atualizar dados mestre de pessoal é PA30.,95.0
22,Qual é o Infotipo utilizado para registar movimentos e mobilidades de pessoal?, O Infotipo utilizado para registar movimentos e mobilidades de pessoal é o **9011**.,O Infotipo utilizado para registar movimentos e mobilidades é o IT 9011 - Movimentos e Mobilidades.,90.0
23,Que medida deve ser executada para registar uma reclassificação de um militar?, A medida que deve ser executada para registar uma reclassificação é a **Reclassificação / Transferência de Quadro Especial** (tipo B4).,"A medida a executar é Reclassificação / Transferência de Quadro Especial, onde será registada a nova especialidade no IT0337 – Categoria / Posto.",90.0
24,Onde devem ser registados os documentos que constituem o Processo Individual do militar?," Na própria Unidade de Efetividade Operacional (U/E/O) onde o militar está colocado administrativamente, salvo as exceções previstas nas Normas.","Os documentos devem ser registados no IT Índice de documentos (IT 9009), que tem como objetivo o registo dos vários documentos que irão constituir o Processo Individual do militar.",10.0
25,Qual é a área geográfica de prestação de serviço preferencial para Operações Especiais de Sargentos?, Lamego,A área geográfica de prestação de serviço preferencial para Operações Especiais é Lamego.,100.0
26,Quantas especialidades existem para admissão de Praças em Regime de Contrato Especial (RCE)?, 14,Existem 14 especialidades para a admissão de Praças em Regime de Contrato Especial.,70.0
27,Qual a escolaridade mínima exigida para admissão como Praça em RCE?, Ensino Secundário completo (12.º ano).,"É necessário o Ensino Secundário completo (12º ano), ou habilitações legalmente equivalentes ao Nível 3 do Quadro Nacional de Qualificações.",85.0
28,Quantos turnos de incorporação CFO/CEFO/CFS estavam previstos para 2024 segundo o Plano de Formação Anual?, Dois turnos.,Estavam previstos dois (02) turnos de incorporação CFO/CEFO/CFS no decorrer de 2024.,90.0
29,Qual era o efetivo máximo previsto para o 1º CFO/CEFO/CFS 2024?," O efetivo máximo previsto para o 1º CFO/CEFO/CFS 2024 era de **96 oficiais e 135 sargentos**, totalizando **231** militares.",Estava previsto um efetivo máximo de 96 Oficiais e 135 Sargentos para o 1º CFO/CEFO/CFS 2024.,95.0
30,Qual é a remuneração base de um Major (MAJ) PR 3 em 2024?," 2 620,23 €","A remuneração base (RB) de um Major (MAJ) PR 3 é 2.620,23 €.",100.0
31,Qual a remuneração total de um 1º Sargento (1SAR) NR 20 em 2024?,Error: Request timed out.,"A remuneração total de um 1º Sargento (1SAR) NR 20 é 2.015,82 €.",0.0
32,Quantos anos de serviço efetivo são necessários para obter a medalha de ouro de comportamento exemplar?, 30 anos de serviço efetivo.,"São necessários 30 anos de serviço efetivo, sem qualquer pena disciplinar ou criminal, para obter a medalha de ouro de comportamento exemplar.",80.0
33,Quantos anos de serviço são necessários para a medalha de prata de comportamento exemplar?, São necessários 15 anos de serviço efectivo.,São necessários 15 anos de serviço efetivo sem qualquer pena disciplinar ou criminal para a medalha de prata de comportamento exemplar.,85.0
34,Quais são as bases do Sistema de Avaliação do Mérito dos Militares das Forças Armadas (SAMMFA)?, As bases do SAMMFA são: a avaliação individual; a avaliação da formação; a avaliação disciplinar; a antiguidade no posto; e a avaliação complementar.,"As bases do SAMMFA são: a avaliação individual (AI), a avaliação da formação (AF), a avaliação disciplinar (AD), a antiguidade no posto (AP) e a avaliação complementar (AC).",95.0
35,"Segundo a Lei Geral do Trabalho em Funções Públicas, qual é o limite máximo da sanção disciplinar de multa (por infração e por ano)?"," O limite máximo da sanção disciplinar de multa é o valor correspondente a **seis remunerações base diárias por cada infração** e, no total, à **remuneração base de 90 dias por ano**.",A sanção de multa não pode exceder o valor correspondente a seis remunerações base diárias por cada infração e um valor total correspondente à remuneração base de 90 dias por ano.,100.0
36,Como é calculada a antiguidade no posto para efeitos de promoção?," A antiguidade no posto para efeitos de promoção é calculada a partir da data fixada no documento oficial de promoção, contabilizando o tempo de serviço efetivo (dias) nos termos do EMFAR. Cada dia de serviço efetivo tem um valor de 0,005 e a soma dos valores é arredondada às centésimas; para promoções por escolha des‑conta‑se um valor correspondente ao menor dos tempos mínimos no posto (até 20 anos). Os períodos que não contam (inatividade temporária por pena criminal ou disciplinar, ausência ilegítima e deserção, licença ilimitada e serviço prestado antes do ingresso nos QP) são excluídos da contagem.","Para a quantificação da antiguidade é atribuído a cada dia de serviço efetivo um valor de 0,005 valores, sendo a soma dos valores arredondada às centésimas.",85.0
37,Qual é o Infotipo SAP utilizado para registar o posto ou categoria profissional de militares?, O Infotipo SAP utilizado para registar o posto ou categoria profissional de militares é o **Infotipo 0337**.,O Infotipo utilizado é o IT 0337 - Posto / Categoria Profissional.,95.0
38,Qual a finalidade do SAMMFA?," O SAMMFA tem por finalidade determinar o mérito do militar e garantir uma correta gestão dos recursos humanos nas Forças Armadas, nomeadamente no recrutamento e seleção, na formação e aperfeiçoamento, na promoção, na progressão horizontal, no desempenho de cargos e funções e na renovação contratual.    Além disso, visa compatibilizar as competências do avaliado com os interesses e necessidades da instituição, incentivar o cumprimento das missões e tarefas e estimular o aperfeiçoamento técnico‑militar, bem como atualizar e melhorar o conhecimento do potencial humano existente.","O SAMMFA tem por finalidade determinar o mérito do militar, tendo em vista uma correta gestão dos recursos humanos, designadamente quanto a recrutamento e seleção, formação, promoção, progressão horizontal, desempenho de cargos e renovação contratual.",85.0
39,Qual é o limite máximo de dias que pode ser aplicado como sanção de suspensão para trabalhadores em funções públicas?," O limite máximo de dias aplicável como sanção de suspensão é de **90 dias** por cada infração (artigo 181.º, alínea c). O total anual de dias de suspensão não pode ultrapassar **240 dias**.","A sanção de suspensão varia entre 20 e 90 dias por cada infração, num máximo de 240 dias por ano.",95.0
