Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","Os requisitos de entrada de sargentos para a área funcional Operações Especiais incluem uma altura mínima de 156 cm (feminino) ou 160 cm (masculino), e um nível de escolaridade mínimo de 12º ano. Além disso, é necessário saber nadar.","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",70.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"Resposta: A Escola de Sargentos do Exército (ESE), que se localiza em Caldas da Rainha.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",100.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"6.558,53 €","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","203,51 €.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",95.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","2.205,29 €","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,Resposta: PA40,O código de transação mencionado para a medida de Alteração de Horário é PA40.,95.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","O Infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto deve também ser efetuado neste infotipo, através de um registo do subtipo 03-Tolerância de Ponto (Plano de horário de trabalho diário: TOLP).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,98.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"O código de transação para o relatório ""Síntese de Datas"" é S_PH0_48000450. Para acessar este relatório, você deve seguir os passos indicados no menu: HR - Recursos Humanos > Gestão de Pessoal > Assiduidades > Relatórios > Síntese de datas.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,90.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,165cm - 180cm (feminino e masculino),As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,100.0
