Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?",  **Requisitos de entrada para sargentos na área funcional de Operações Especiais:**  - **Escolaridade:** É necessário possuir qualquer Licenciatura ou Mestrado.  - **Altura:**    - Para candidatas femininas: mínimo de 156 cm e máximo de 190 cm.   - Para candidatos masculinos: mínimo de 160 cm e máximo de 190 cm.,"Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",10.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"  A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a **Escola de Sargentos do Exército (ESE)**, localizada em **Caldas da Rainha**.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",100.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"  A remuneração total de um General (GEN) em 2024 é de **6.558,53 €**.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",100.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","  A remuneração base (RB) de um Cad Aluno do 1º Ano é de **203,51 EUR**.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","  A remuneração total de um Sargento-Ajudante (SAJ) com NR 23 é de **2.205,29 €**.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,  O código de transação SAP mencionado para iniciar o processo de Alteração de Horário é **PA40**.,O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","  O Infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador. Ele também é utilizado para registrar tolerâncias de ponto, através de um registo do subtipo 03-Tolerância de Ponto (Plano de horário de trabalho diário: TOLP).   Este infotipo permite efetuar substituições de horários, intervalos, regras de plano de horário de trabalho e tipo de dia. É utilizado no contexto da gestão de horários por turnos para registrar dias de descanso, folgas em dias úteis e tempo de trabalho realizado em dias de descanso complementares e obrigatórios.  Para utilizar o Infotipo 2003, deve-se entrar na transação PA30, escolher o infotipo 2003 Substituições, selecionar o subtipo adequado (01, 02 ou 03) e preencher os campos necessários, como o período de validade, tipo de substituição, jornada de trabalho individual, plano de horário diário e intervalos.",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,75.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"  Para aceder ao relatório ""Síntese de datas"", utilize o código de transação **S_PH0_48000450**.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,100.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"  A área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,"  As condições essenciais de altura para a área funcional ""Vigilância do Campo de Batalha"" são:  - **Altura:** 165cm - 180cm (feminino e masculino).",As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,95.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"  A remuneração total de um Tenente-General (TGEN) com PR 2 em 2024 é **5.496,86 €**.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
