Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?", Os requisitos de entrada de sargentos para a área funcional Operações Especiais são:  - **Altura**: 156 cm (feminino) e 160 cm (masculino);   - **Escolaridade**: 9.º Ano.,"Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",30.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?, Escola de Sargentos do Exército – localizada em Caldas da Rainha.,"A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",95.0
3,Qual é a remuneração total de um General (GEN) em 2024?," 6 558,53 €","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",95.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?"," 203,51 €","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",95.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?"," 2 205,29 €","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",90.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?, PA40,O código de transação mencionado para a medida de Alteração de Horário é PA40.,95.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?"," O Infotipo 2003 – Substituições serve para realizar a substituição do horário de trabalho do colaborador, podendo também registar as tolerâncias de ponto (subtipo 03‑Tolerância de Ponto).",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,95.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?, Utilize o código de transação **S_PH0_48000450** para aceder ao relatório Síntese de datas.,Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,100.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?," Braga, Estremoz e S. Margarida.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",98.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?, As condições essenciais de altura são 165 cm a 180 cm (para ambos os géneros).,As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,95.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?," 5 496,86 €","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",100.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?"," Segundo o artigo 228.º, os limites anuais de trabalho suplementar variam conforme a categoria do trabalhador:  * **Microempresa ou pequena empresa** – até **175 horas por ano**;   * **Empresa média ou grande** – até **150 horas por ano**;   * **Trabalhador a tempo parcial** – **80 horas por ano** (ou número de horas correspondente à proporção do seu período normal face ao trabalhador a tempo completo, quando superior).","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",60.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?, O número máximo de horas de trabalho suplementar por dia normal de trabalho é **duas horas**.,O limite é de duas horas por dia normal de trabalho.,100.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?, O infotipo utilizado para registar contingentes de presença no SIGRHV é o **Infotipo 2007**.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,90.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?, Infotipo 2007.,O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,50.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?, As penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva são:  - Repreensão;   - Repreensão agravada;   - Proibição de saída;   - Suspensão de serviço;   - Prisão disciplinar;   - Reforma compulsiva;   - Separação de serviço.,"As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",100.0
