Query ID,Query,Received Response,Expected Response,Meaning Acc (%)
1,"Quais são os requisitos de entrada de sargentos para a área funcional Operações Especiais, em termos de altura e escolaridade?","  Com base no contexto fornecido, para a categoria de **Sargento** na Área Funcional de **Operações Especiais**, os requisitos são:  * **Escolaridade:** 12.º ano. * **Altura:** 156 cm (para feminino) e 160 cm (para masculino).","Os requisitos para a área funcional Operações Especiais são ter o 12º ano, saber nadar e ter uma altura de 162cm (feminino e masculino), no caso de sargentos.",60.0
2,Qual é a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais e onde se localiza?,"  Com base no contexto fornecido, a unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a **Escola de Sargentos do Exército (ESE)**, que se localiza nas **Caldas da Rainha**.","A unidade responsável pela formação inicial de Sargentos para todas as áreas funcionais é a Escola de Sargentos do Exército (ESE), localizada em Caldas da Rainha.",98.0
3,Qual é a remuneração total de um General (GEN) em 2024?,"  Com base na Tabela Remuneratória dos Militares 2024 fornecida no contexto, a remuneração total de um General (GEN) é de **6 558,53 €**.","A remuneração total (TOTAL) de um General (GEN) é 6.558,53 €.",98.0
4,"Quanto ganha, em termos de remuneração base (RB), um Cad Aluno do 1º Ano?","  De acordo com o contexto fornecido, a remuneração base (RB) de um Cad Aluno do 1º Ano é de **203,51 €**.","A remuneração base (RB) de um Cad Aluno do 1º Ano é 203,51 €.",100.0
5,"Qual é a remuneração total de um Sargento-Ajudante (SAJ), NR 23?","  Com base no contexto fornecido, especificamente na Tabela Remuneratória dos Militares 2024, a remuneração total de um Sargento-Ajudante (SAJ) com NR 23 é de **2 205,29 €**.","A remuneração total para Sargento-Ajudante (SAJ) NR 23 é de 2.205,29 €.",100.0
6,Qual é o código de transação SAP mencionado para iniciar o processo de Alteração de Horário?,"  Com base no contexto fornecido, o código de transação SAP mencionado para iniciar o processo de Alteração de Horário é **PA40**.",O código de transação mencionado para a medida de Alteração de Horário é PA40.,100.0
7,"Para que serve o Infotipo 2003 Substituições, de acordo com o manual?","  De acordo com o manual, o infotipo 2003 - Substituições serve para realizar a substituição do horário de trabalho do colaborador.   Além disso, o contexto indica que este infotipo é utilizado para: * O registo de tolerâncias de ponto (através do subtipo 03 - Tolerância de Ponto); * A Gestão do Horário por Turnos, permitindo registar dias de descanso e folga em dias úteis, bem como o tempo de trabalho realizado em dias de descanso complementares e obrigatórios; * A substituição de intervalos, regras do plano de horário e tipo de dia.",O Infotipo 2003 Substituições serve para realizar a substituição do horário de trabalho do colaborador. O registo de tolerâncias de ponto também deve ser efetuado neste infotipo.,70.0
8,Como posso aceder ao relatório Síntese de datas utilizando um código de transação?,"  Com base no contexto fornecido, pode aceder ao relatório **Síntese de datas** através dos seguintes códigos de transação:  * **S_PH0_48000450** (associado ao menu: `HR - Recursos Humanos > Gestão de Pessoal > Assiduidades > Relatórios > Síntese de datas`) * **ZHR_T_Q0016** (associado à secção de Síntese de datas para informação do IT0019)  Para aceder, basta introduzir o código pretendido na caixa de introdução rápida do sistema e selecionar a opção **Executar**.",Pode aceder ao relatório Síntese de datas utilizando o código de transação S_PH0_48000450.,85.0
9,Qual a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha?,"  Com base no contexto fornecido, a área geográfica de prestação de serviço preferencial para a área funcional Vigilância do Campo de Batalha é **Braga, Estremoz e S. Margarida**.","A área geográfica de prestação de serviço preferencial para Vigilância do Campo de Batalha é Braga, Estremoz e S. Margarida.",100.0
10,Quais são as condições essenciais de altura para a área funcional Vigilância do Campo de Batalha?,"  De acordo com o contexto fornecido, a condição essencial de altura para a Área Funcional de Vigilância do Campo de Batalha é de **165 cm a 180 cm** (aplicável tanto ao feminino como ao masculino).",As condições essenciais de altura para Vigilância do Campo de Batalha são 165cm - 180cm (feminino e masculino).,98.0
11,Qual é a remuneração total de um Tenente-General (TGEN) com PR 2 em 2024?,"  De acordo com a Tabela Remuneratória dos Militares 2024 apresentada no contexto, a remuneração total de um Tenente-General (TGEN) com PR 2 é de **5 496,86 €**.","A remuneração total de um Tenente-General (TGEN) PR 2 é 5.496,86 €.",98.0
12,"Quantas horas de trabalho suplementar por ano são permitidas, por trabalhador, segundo a lei geral?","  Com base no contexto fornecido (Artigo 228.º), os limites anuais de trabalho suplementar por trabalhador, segundo a lei geral, são os seguintes:  - **Microempresa ou pequena empresa:** 175 horas por ano. - **Média ou grande empresa:** 150 horas por ano. - **Trabalhador a tempo parcial:** 80 horas por ano, ou o número de horas correspondente à proporção entre o respetivo período normal de trabalho e o de um trabalhador a tempo completo em situação comparável (quando superior).  O contexto indica ainda que estes limites podem ser aumentados até **200 horas por ano** mediante instrumento de regulamentação colectiva de trabalho.","O limite de trabalho suplementar é de 150 horas de trabalho por ano, por trabalhador.",40.0
13,Qual o número máximo de horas de trabalho suplementar por dia normal de trabalho?,"  Com base no contexto fornecido, o número máximo de horas de trabalho suplementar por dia normal de trabalho é de **duas horas** (conforme previsto no n.º 1, alínea d) do Artigo 228.º e no n.º 2, alínea b) do Artigo 120.º).",O limite é de duas horas por dia normal de trabalho.,95.0
14,Qual o Infotipo utilizado para registar contingentes de presença no SIGRHV?,"  Com base no contexto fornecido, o infotipo utilizado para registar contingentes de presença é o **2007 - Contingentes de Presenças**.",O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
15,Qual é o Infotipo do SIGRHV utilizado para registar contingentes de presença?,"  Com base no contexto fornecido, o infotipo utilizado para registar contingentes de presença é o **Infotipo 2007 - Contingentes de Presenças**.",O Infotipo utilizado para registar contingentes de presença é o IT 2007 - Contingentes de presença.,95.0
16,Quais são as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do ativo ou de reserva?,"  Com base no contexto fornecido (Artigo 30.º), as penas disciplinares aplicáveis aos militares dos quadros permanentes nas situações do activo ou de reserva são:  - **Penas gerais** (por ordem crescente de gravidade): Repreensão, Repreensão agravada, Proibição de saída, Suspensão de serviço e Prisão disciplinar. - **Penas adicionais específicas** para esta categoria: Reforma compulsiva e Separação de serviço.","As penas disciplinares aplicáveis aos militares dos quadros permanentes no ativo ou reserva são: repreensão, repreensão agravada, proibição de saída, suspensão de serviço, prisão disciplinar, reforma compulsiva e separação de serviço.",90.0
17,Qual a duração máxima da pena de proibição de saída?,"  Com base no contexto fornecido, a duração máxima da pena de proibição de saída é de **20 dias**.",A pena de proibição de saída tem duração não superior a 20 dias.,100.0
18,O que consiste a pena de repreensão agravada para oficiais e sargentos?,"  Com base no contexto fornecido, a pena de repreensão agravada consiste na declaração feita ao infractor de que sofre reparo por ter praticado uma infracção disciplinar.   No caso específico de **oficiais e sargentos**, esta é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste último caso, mais antigos, da unidade, estabelecimento ou órgão a que o infractor pertencer ou em que estiver apresentado.","A repreensão agravada a oficiais e sargentos é dada na presença de outros oficiais ou sargentos, respetivamente de posto superior ou igual, mas, neste caso, mais antigos, da unidade, estabelecimento ou órgão a que o infrator pertencer.",85.0
19,Qual é o período de suspensão de serviço que pode ser aplicado como pena disciplinar?,"  Com base no contexto fornecido, a pena de suspensão de serviço traduz-se no afastamento completo do serviço pelo período que for fixado, **entre cinco e 90 dias**. (Artigo 34.º)","A pena de suspensão de serviço traduz-se no afastamento completo do serviço por um período que for fixado, entre cinco e 90 dias.",100.0
20,A que consiste a pena de separação de serviço?,"  Com base no contexto fornecido, a pena de separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.   Esta pena é aplicável ao militar cujo comportamento, pela sua excepcional gravidade, se revele incompatível com a permanência nos quadros das Forças Armadas.","A separação de serviço consiste no afastamento definitivo das Forças Armadas, com perda da condição de militar, abate aos quadros permanentes e privação do uso de uniforme, distintivos, insígnias e medalhas militares, sem prejuízo do direito à pensão de reforma.",95.0
21,Qual o código de transação para atualizar dados mestre de pessoal no SIGRHV?,"  Com base no contexto fornecido, o código de transação para atualizar os dados mestre de pessoal é o **PA30** (explicitamente identificado no documento como `PA30 - Atualizar`). Este código é indicado em múltiplas secções para a gestão e atualização de dados mestre no sistema.",O código de transação para atualizar dados mestre de pessoal é PA30.,100.0
22,Qual é o Infotipo utilizado para registar movimentos e mobilidades de pessoal?,Error: Request timed out.,O Infotipo utilizado para registar movimentos e mobilidades é o IT 9011 - Movimentos e Mobilidades.,0.0
23,Que medida deve ser executada para registar uma reclassificação de um militar?,"  Com base no contexto fornecido, para registar uma reclassificação de um militar no sistema, deve ser executada a medida **""Reclassificação / Transferência de Quadro Especial""** (identificada no sistema pelo código **B4 - Reclassificação/Transf.QEsp**).","A medida a executar é Reclassificação / Transferência de Quadro Especial, onde será registada a nova especialidade no IT0337 – Categoria / Posto.",93.0
24,Onde devem ser registados os documentos que constituem o Processo Individual do militar?,"  Com base no contexto fornecido, os documentos que constituem o Processo Individual (PIND) do militar devem ser registados da seguinte forma:  * **No sistema de informação (SI/SAP):** Devem ser registados no infotipo (IT) `'Índice de documentos'`. Para tal, o utilizador deve aceder à transação `PA30`, selecionar o infotipo `9009 - Índice de documentos` e o subtipo `0003` (destinado a militares), efetuando um registo para cada documento que integrará o PIND físico. * **Fisicamente:** Os documentos que servem de base à inserção de dados ou averbamentos nos SI são registados, numerados e classificados, sendo posteriormente arquivados em capa. Na capa, deve indicar-se externamente o Comando Funcional, a U/E/O, o número de identificação do militar, o posto/categoria, o quadro especial ou área funcional e o nome completo.  Estes procedimentos garantem a identificação dos documentos arquivados no PIND físico e facilitam a respetiva pesquisa, conforme estabelecido nas Normas de Gestão do Processo Individual no Exército.","Os documentos devem ser registados no IT Índice de documentos (IT 9009), que tem como objetivo o registo dos vários documentos que irão constituir o Processo Individual do militar.",75.0
25,Qual é a área geográfica de prestação de serviço preferencial para Operações Especiais de Sargentos?,"  Com base no contexto fornecido, a Área Geográfica de Prestação de Serviço Preferencial para Operações Especiais é **Lamego**.   Para a especialidade Operações Especiais - 21, a área é todas, mas nos primeiros 2 anos o serviço deve ser obrigatoriamente prestado em U/E/O da especialidade em Lamego.",A área geográfica de prestação de serviço preferencial para Operações Especiais é Lamego.,95.0
26,Quantas especialidades existem para admissão de Praças em Regime de Contrato Especial (RCE)?,"  Com base no contexto fornecido, existem **14 (catorze)** especialidades (situações funcionais) estabelecidas para admissão de Praças em Regime de Contrato Especial (RCE).   Estas especialidades são: - Alimentação - Eletricidade - Gestão Equina - Informática - Logística Militar - Mecânica Auto - Mecânica de Armamento - Mecânica de Carroçarias - Mecânica de Eletrónica - Multimédia - Música - Refrigeração e Climatização - Secretariado - Transportes  *(Nota: O contexto menciona ainda que as especialidades de Saúde, Farmácia, Estomatologia e Emergência de Aeródromos se encontram ainda a aguardar despacho/promulgação.)*",Existem 14 especialidades para a admissão de Praças em Regime de Contrato Especial.,85.0
27,Qual a escolaridade mínima exigida para admissão como Praça em RCE?,"  Com base no contexto fornecido, para a categoria de Praças no Regime de Contrato Especial (RCE), é exigido o **Ensino Secundário completo (12.º ano)**, ou habilitações legalmente equivalentes ao **Nível 3 do Quadro Nacional de Qualificações (QNQ)**.","É necessário o Ensino Secundário completo (12º ano), ou habilitações legalmente equivalentes ao Nível 3 do Quadro Nacional de Qualificações.",100.0
